income_hr,education,sex,age,urban_rural,province,sector,hours_worked
50.0,Primary,Female,18,Urban,Kigali city,Services,50.0
557.1429,Upper_secondary,Male,24,Urban,Kigali city,Services,35.0
1625.0,Primary,Male,26,Urban,Kigali city,Industry,10.0
89.28571,Lower_secondary,Male,26,Urban,Kigali city,Services,42.0
277.77777,Primary,Male,21,Rural,Kigali city,Industry,45.0
260.0,Primary,Female,22,Rural,Kigali city,Industry,25.0
325.0,Lower_secondary,Male,21,Rural,Kigali city,Industry,40.0
1250.0,Upper_secondary,Female,25,Rural,Kigali city,Services,6.0
325.0,Lower_secondary,Male,18,Urban,Kigali city,Industry,50.0
1354.1666,Upper_secondary,Male,30,Urban,Kigali city,Industry,24.0
35.714287,Primary,Female,18,Urban,Kigali city,Services,70.0
367.92453,Primary,Male,22,Urban,Kigali city,Industry,53.0
89.28571,Primary,Female,19,Urban,Kigali city,Services,70.0
89.28571,Primary,Male,17,Urban,Kigali city,Services,56.0
5555.5557,University,Female,27,Urban,Kigali city,Services,45.0
142.85715,Lower_secondary,Female,18,Urban,Kigali city,Services,35.0
650.0,Upper_secondary,Male,28,Urban,Kigali city,Industry,50.0
1083.3334,Primary,Male,30,Urban,Kigali city,Industry,36.0
72.22222,Lower_secondary,Female,30,Urban,Kigali city,Agriculture,18.0
541.6667,Primary,Female,20,Rural,Kigali city,Services,12.0
541.6667,Primary,Female,17,Rural,Kigali city,Industry,6.0
3125.0,University,Male,30,Rural,Kigali city,Services,40.0
390.0,Primary,Male,29,Rural,Kigali city,Industry,50.0
325.0,Primary,Male,17,Rural,Kigali city,Industry,40.0
325.0,Primary,Male,25,Rural,Kigali city,Industry,60.0
99.20635,Lower_secondary,Male,21,Rural,Kigali city,Agriculture,63.0
89.28571,Lower_secondary,Female,17,Urban,Kigali city,Services,42.0
708.3333,Upper_secondary,Male,28,Urban,Kigali city,Services,60.0
855.2632,Upper_secondary,Male,29,Urban,Kigali city,Services,38.0
100.0,Primary,Female,19,Urban,Kigali city,Services,70.0
1388.8889,Upper_secondary,Male,24,Urban,Kigali city,Industry,36.0
89.28571,Lower_secondary,Male,19,Urban,Kigali city,Services,56.0
44.642857,Primary,Male,21,Urban,Kigali city,Services,84.0
66.96429,Primary,Female,23,Urban,Kigali city,Services,56.0
77.16049,Primary,Female,22,Urban,Kigali city,Services,81.0
69.44444,Primary,Female,22,Urban,Kigali city,Services,90.0
1111.1111,University,Female,25,Urban,Kigali city,Services,45.0
270.8333,Primary,Male,25,Urban,Kigali city,Industry,40.0
833.3333,Upper_secondary,Female,24,Urban,Kigali city,Industry,60.0
1083.3334,Lower_secondary,Male,27,Urban,Kigali city,Services,60.0
166.66667,Upper_secondary,Male,24,Urban,Kigali city,Services,60.0
148.80952,Primary,Male,26,Urban,Kigali city,Services,84.0
1354.1666,University,Male,28,Urban,Kigali city,Industry,48.0
677.0833,Lower_secondary,Female,23,Urban,Kigali city,Services,48.0
78.125,Primary,Female,26,Urban,Kigali city,Services,48.0
52.083332,Primary,Female,21,Urban,Kigali city,Services,48.0
1190.4762,University,Female,25,Urban,Kigali city,Agriculture,42.0
52.083332,Primary,Male,27,Urban,Kigali city,Services,48.0
50.0,Primary,Female,19,Rural,Kigali city,Services,60.0
62.5,Primary,Male,26,Rural,Kigali city,Services,84.0
515.873,Upper_secondary,Male,27,Rural,Kigali city,Industry,63.0
75.0,Primary,Female,19,Rural,Kigali city,Services,50.0
472.22223,Upper_secondary,Male,27,Rural,Kigali city,Services,45.0
338.54166,Primary,Female,26,Rural,Kigali city,Industry,48.0
156.0,Primary,Female,25,Rural,Southern Province,Agriculture,25.0
130.0,Primary,Female,26,Rural,Southern Province,Agriculture,30.0
130.0,Primary,Male,22,Rural,Southern Province,Agriculture,30.0
195.0,Lower_secondary,Female,18,Rural,Southern Province,Agriculture,20.0
130.0,Primary,Female,22,Rural,Southern Province,Agriculture,30.0
1750.0,University,Male,28,Urban,Southern Province,Services,45.0
2222.2222,University,Male,30,Urban,Southern Province,Services,45.0
108.333336,Primary,Male,21,Rural,Southern Province,Industry,60.0
108.333336,Primary,Female,18,Rural,Southern Province,Agriculture,30.0
195.0,Primary,Male,19,Rural,Southern Province,Industry,50.0
92.59259,Upper_secondary,Female,28,Rural,Southern Province,Industry,54.0
